ElementID,ParamID,Meaning,ValueType,SafeOrTypicalRange,Notes,ObservedValues,ObservedInFiles
Bass Control,Auto Gain Enable,Auto gain compensation,bool,1,Module not in default active chain unless ElementChain says so,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml
Clarity,Amount,Clarity processing amount,percent float,10..28,Modern polish; too high can get glossy/sterile,"12,00000000; 16,00000000; 18,00000000; 22,00000000; 24,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Clarity,Auto Gain Enable,Auto gain compensation,bool,1,Usually keep on,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Clarity,Tilt,Brightness/darkness tilt,float,-1.6..+0.2,"Negative = darker, positive = brighter/open","-0,20000000; -0,80000001; -1,05000000; -1,19999981; -1,20000000; -1,60000002; 0,05000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 1 Enable,Band enabled,bool,1 or 0,"If 0, other band params may not affect audio",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 1 Frequency,Band center/cutoff frequency,Hz float,material-dependent,Use frequency map; avoid blind broad changes,"250,00000000; 299,42401123; 299,42416382",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 1 Gain,Band gain,dB float,-3..+2 typical; Dynamic EQ often negative,Static EQ/DynEQ band gain,"-0,45000000; -0,70000000; -1,00000000; -1,10000000; -1,10000038; -1,15000000; -1,20000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 1 Q,Band Q / width,float,0.7..5 depending task,Higher = narrower,"1,20000000",Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml
Dynamic EQ,Band 1 Shape,Filter shape enum,enum int,verify from GUI/template,Do not change blindly,0,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 1 Threshold,Dynamic EQ threshold,dB float,set by render/listening,More negative can trigger more often; measure/listen,"-21,56971741; -22,00000000; -24,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Dynamic EQ,Band 1 Visible,GUI visibility,bool,1,Usually not audio-critical,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
